Player,Salary,Salary Status Code,Salary Status Message,Year,Level,Is Top Player
"Abreu, Jose",11666667,GOOD,Salary was parsed,2016,MLB,True
"Acevedo, Andury",507500,GOOD,Salary was parsed,2016,MLB,False
"Ackley, Dustin",3200000,GOOD,Salary was parsed,2016,MLB,False
"Adames, Cristhian",507500,GOOD,Salary was parsed,2016,MLB,False
"Adams, Austin",507500,GOOD,Salary was parsed,2016,MLB,False
"Adams, Matt",1650000,GOOD,Salary was parsed,2016,MLB,False
"Adrianza, Ehire",507500,GOOD,Salary was parsed,2016,MLB,False
"Aguilar, Jesus",507500,GOOD,Salary was parsed,2016,MLB,False
"Ahmed, Nick",507500,GOOD,Salary was parsed,2016,MLB,False
"Albers, Matt",2000000,GOOD,Salary was parsed,2016,MLB,False
"Alberto, Hanser",507500,GOOD,Salary was parsed,2016,MLB,False
"Alburquerque, Al",1100000,GOOD,Salary was parsed,2016,MLB,False
"Alcantara, Arismendy",507500,GOOD,Salary was parsed,2016,MLB,False
"Alcantara, Raul",507500,GOOD,Salary was parsed,2016,MLB,False
"Alcantara, Victor",507500,GOOD,Salary was parsed,2016,MLB,False
"Alexander, Scott",507500,GOOD,Salary was parsed,2016,MLB,False
"Alfaro, Jorge",507500,GOOD,Salary was parsed,2016,MLB,False
"Allen, Cody",4150000,GOOD,Salary was parsed,2016,MLB,False
"Almonte, Abraham",507500,GOOD,Salary was parsed,2016,MLB,False
"Almonte, Miguel",507500,GOOD,Salary was parsed,2016,MLB,False
"Alonso, Yonder",2650000,GOOD,Salary was parsed,2016,MLB,False
"Altherr, Aaron",507500,GOOD,Salary was parsed,2016,MLB,False
"Altuve, Jose",3687500,GOOD,Salary was parsed,2016,MLB,False
"Alvarez, Dariel",507500,GOOD,Salary was parsed,2016,MLB,False
"Alvarez, Dario",507500,GOOD,Salary was parsed,2016,MLB,False
"Alvarez, Henderson",4250000,GOOD,Salary was parsed,2016,MLB,False
"Alvarez, Jose",507500,GOOD,Salary was parsed,2016,MLB,False
"Alvarez, R.J.",507500,GOOD,Salary was parsed,2016,MLB,False
"Amarista, Alexi",1350000,GOOD,Salary was parsed,2016,MLB,False
"Anderson, Brett",15800000,GOOD,Salary was parsed,2016,MLB,True
"Anderson, Chase",507500,GOOD,Salary was parsed,2016,MLB,False
"Anderson, Cody",507500,GOOD,Salary was parsed,2016,MLB,False
"Anderson, Tyler",507500,GOOD,Salary was parsed,2016,MLB,False
"Andriese, Matt",507500,GOOD,Salary was parsed,2016,MLB,False
"Andrus, Elvis",15250000,GOOD,Salary was parsed,2016,MLB,True
"Anna, Dean",507500,GOOD,Salary was parsed,2016,MLB,False
"Aoki, Nori",5500000,GOOD,Salary was parsed,2016,MLB,False
"Aplin, Andrew",507500,GOOD,Salary was parsed,2016,MLB,False
"Aquino, Jayson",507500,GOOD,Salary was parsed,2016,MLB,False
"Araujo, Elvis",507500,GOOD,Salary was parsed,2016,MLB,False
"Archer, Chris",2916667,GOOD,Salary was parsed,2016,MLB,False
"Arcia, Orlando",507500,GOOD,Salary was parsed,2016,MLB,False
"Arcia, Oswaldo",507500,GOOD,Salary was parsed,2016,MLB,False
"Arenado, Nolan",5000000,GOOD,Salary was parsed,2016,MLB,False
"Armstrong, Shawn",507500,GOOD,Salary was parsed,2016,MLB,False
"Aro, Jonathan",507500,GOOD,Salary was parsed,2016,MLB,False
"Arrieta, Jake",10700000,GOOD,Salary was parsed,2016,MLB,True
"Asche, Cody",507500,GOOD,Salary was parsed,2016,MLB,False
"Asher, Alec",507500,GOOD,Salary was parsed,2016,MLB,False
"Avila, Alex",2500000,GOOD,Salary was parsed,2016,MLB,False
"Avilan, Luis",1390000,GOOD,Salary was parsed,2016,MLB,False
"Aviles, Mike",2000000,GOOD,Salary was parsed,2016,MLB,False
"Axford, John",4500000,GOOD,Salary was parsed,2016,MLB,False
"Aybar, Erick",8750000,GOOD,Salary was parsed,2016,MLB,False
"Baez, Javier",507500,GOOD,Salary was parsed,2016,MLB,False
"Baez, Pedro",507500,GOOD,Salary was parsed,2016,MLB,False
"Bailey, Homer",18000000,GOOD,Salary was parsed,2016,MLB,True
"Baker, Dylan",507500,GOOD,Salary was parsed,2016,MLB,False
"Bandy, Jett",507500,GOOD,Salary was parsed,2016,MLB,False
"Banuelos, Manny",507500,GOOD,Salary was parsed,2016,MLB,False
"Barbato, Johnny",507500,GOOD,Salary was parsed,2016,MLB,False
"Barnes, Austin",507500,GOOD,Salary was parsed,2016,MLB,False
"Barnes, Brandon",507500,GOOD,Salary was parsed,2016,MLB,False
"Barnes, Jacob",507500,GOOD,Salary was parsed,2016,MLB,False
"Barnes, Matt",507500,GOOD,Salary was parsed,2016,MLB,False
"Barnette, Tony",1500000,GOOD,Salary was parsed,2016,MLB,False
"Barney, Darwin",1050000,GOOD,Salary was parsed,2016,MLB,False
"Barnhart, Tucker",507500,GOOD,Salary was parsed,2016,MLB,False
"Baron, Steve",507500,GOOD,Salary was parsed,2016,MLB,False
"Barraclough, Kyle",507500,GOOD,Salary was parsed,2016,MLB,False
"Barrett, Aaron",507500,GOOD,Salary was parsed,2016,MLB,False
"Barrett, Jake",507500,GOOD,Salary was parsed,2016,MLB,False
"Barrios, Yhonathan",507500,GOOD,Salary was parsed,2016,MLB,False
"Bassitt, Chris",507500,GOOD,Salary was parsed,2016,MLB,False
"Bastardo, Antonio",5375000,GOOD,Salary was parsed,2016,MLB,False
"Bauer, Trevor",507500,GOOD,Salary was parsed,2016,MLB,False
"Baumann, Buddy",,NONE,No salary value was present,2016,MLB,False
"Bautista, Jose",14000000,GOOD,Salary was parsed,2016,MLB,True
